class3_code,substance_code
131,391747COS
131,391751COS
131,391752COS
131,401637COS
131,417530COS
131,434830COS
131,442230COS
131,442231COS
131,453930COS
131,457731COS
131,461330COS
131,475130COS
131,475131COS
131,509030COS
131,509031COS
131,515400COS
131,520830COS
131,530001COS
131,530002COS
131,530006COS
131,530020COS
131,530021COS
131,530024BIJ
131,530025COS
131,530029COS
131,530031COS
131,530032BIJ
131,530037COS
131,530039COS
131,530042COS
131,530048COS
131,530049COS
131,530053COS
131,530054COS
131,530059COS
131,530060COS
131,530061COS
131,530063COS
131,530064COS
131,530065COS
131,530068COS
131,530069COS
131,530071COS
131,530072COS
131,530073COS
131,530074COS
131,5300A4COS
131,5300B9COS
131,5300C1COS
131,538100COS
131,538200COS
131,538300COS
131,538400COS
131,538500COO
131,538700COS
131,538800COS
131,538900COS
131,539000COS
131,539200COS
131,539300COS
131,539800COO
131,539900COO
131,540100COS
131,540200COS
131,540400COO
131,540600COS
131,540900COS
131,541000COS
131,541100BIJ
131,541200COS
131,541300COS
131,541500COS
131,541600COS
131,541700COS
131,541900COS
131,568603COS
131,568605COS
131,617330COS
131,617332COS
131,617333COS
131,617335COS
131,617338COS
131,617339COS
131,619202COS
131,619204COS
131,619205COS
131,619206COS
131,619330COS
131,619331COS
131,642200COS
131,670100COS
131,680900COS
131,687500COS
131,692801COS
131,692802COS
131,694601COS
131,694602COS
131,729301BIJ
131,736101COS
131,800200COS
131,800900COS
131,801000COS
132,119435CLQ
132,119437CLQ
132,177132CLQ
132,203936CLQ
132,212301ATB
132,243330CLQ
132,361308CSI
132,361331CSI
132,361349CSI
132,500430CSI
132,510030CSI
132,520200CSI
132,542200CSS
132,542300CSS
132,542400CLQ
132,673300CSI
132,690000CSI
132,690100CSI
141,130501ATB
141,131801ATB
141,131830BIJ
141,135201ATB
141,150601ATB
141,150630ALQ
141,151301ACR
141,151302ACR
141,185401ACS
141,185401ATB
141,185430ASY
141,190502ATB
141,190532ASY
141,206201ATB
141,260100ACR
141,347901ATB
141,347902ATB
141,347903ATB
141,347904ACS
141,347904ATB
141,355901ATB
141,395400ATB
141,453901ATB
141,453902ATB
141,453904ATR
141,463601ATB
141,463633ALQ
141,463634ALQ
141,463635ALQ
141,463637ALQ
141,508801ATD
141,521601ATB
141,521602ATR
141,524800ATB
141,530800ASY
141,531100ASY
141,531300ASY
141,531500ASY
141,551501ATB
141,639501ATB
141,659601ATB
142,112401ATB
142,112402ATB
142,112403ATB
142,139201ACS
142,139204ACS
142,139230BIJ
142,174301BIJ
142,186701ACH
142,186702ACH
142,194701ACS
142,194702ACS
142,194703ACS
142,194730ALQ
142,196601ATB
142,196602ATB
142,197801ACH
142,197802ATB
142,197830ASS
142,234201ACH
142,234201ATB
142,234203ACH
142,234203ATB
142,234204ACH
142,234204ATB
142,234205ACR
142,234206ACR
142,234207ACR
142,234208ATB
142,234230BIJ
142,235101ACH
142,359401BIJ
142,434601ATB
142,434602ATB
142,451401ATE
142,451402ATE
142,485501ATB
142,485502ATB
142,485503ATB
142,485601ATB
142,485602ATB
142,485603ATB
142,485604ATB
142,520430BIJ
142,520431BIJ
142,520432BIJ
142,520433BIJ
142,615030BIJ
142,615031BIJ
142,615032BIJ
142,621230BIJ
142,621231BIJ
142,621232BIJ
142,627201ATB
142,627202ATB
142,627204ATR
142,627205ASY
142,642701BIJ
142,642702BIJ
142,644602BIJ
142,644603BIJ
142,644604BIJ
142,648901ATE
142,648903ATE
142,667801BIJ
142,667901ATB
142,667902ATB
142,670401BIJ
142,670402BIJ
142,670901BIJ
142,686201BIJ
142,686202BIJ
142,689901ATR
